City,IATA,ID,Name,Country,ICAO,Latitude,Longitude,Altitude,Timezone,DST,DZ,Type,Source
Oslo,OSL,644,Oslo Lufthavn,Norway,ENGM,60.121,11.0502,681,1,E,Europe/Oslo,airport,OurAirports
Paphos,PFO,1198,Paphos International Airport,Cyprus,LCPH,34.71799850463867,32.48569869995117,41,2,E,Asia/Nicosia,airport,OurAirports
Paris,CDG,1382,Charles de Gaulle International Airport,France,LFPG,49.012798,2.55,392,1,E,Europe/Paris,airport,OurAirports
Rhodos,RHO,1472,Diagoras Airport,Greece,LGRP,36.405399322509766,28.086200714111328,17,2,E,Europe/Athens,airport,OurAirports
Riga,RIX,3953,Riga International Airport,Latvia,EVRA,56.92359924316406,23.971099853515625,36,2,E,Europe/Riga,airport,OurAirports
Rome,FCO,1555,Leonardo da Vinci–Fiumicino Airport,Italy,LIRF,41.8002778,12.2388889,13,1,E,Europe/Rome,airport,OurAirports
Salzburg,SZG,1612,Salzburg Airport,Austria,LOWS,47.7933006287,13.0043001175,1411,1,E,Europe/Vienna,airport,OurAirports
Split,SPU,1206,Split Airport,Croatia,LDSP,43.53889846801758,16.29800033569336,79,1,E,Europe/Zagreb,airport,OurAirports
Stockholm,ARN,737,Stockholm-Arlanda Airport,Sweden,ESSA,59.651901245117,17.918600082397,137,1,E,Europe/Stockholm,airport,OurAirports
Zürich,ZRH,1678,Zürich Airport,Switzerland,LSZH,47.464699,8.54917,1416,1,E,Europe/Zurich,airport,OurAirports
Venice,VCE,1551,Venice Marco Polo Airport,Italy,LIPZ,45.505299,12.3519,7,1,E,Europe/Rome,airport,OurAirports
Warsaw,WAW,679,Warsaw Chopin Airport,Poland,EPWA,52.1656990051,20.9671001434,362,1,E,Europe/Warsaw,airport,OurAirports
Vienna,VIE,1613,Vienna International Airport,Austria,LOWW,48.110298156738,16.569700241089,600,1,E,Europe/Vienna,airport,OurAirports
Vilnius,VNO,3959,Vilnius International Airport,Lithuania,EYVI,54.634102,25.285801,648,2,E,Europe/Vilnius,airport,OurAirports
Alanya,GZP,8266,Gazipaşa Airport,Turkey,LTGP,36.299217,32.300598,86,3,E,Europe/Istanbul,airport,OurAirports
Burgas,BOJ,1191,Burgas Airport,Bulgaria,LBBG,42.56959915161133,27.515199661254883,135,2,E,Europe/Sofia,airport,OurAirports
Funchal,FNC,4091,Madeira Airport,Portugal,LPMA,32.697899,-16.7745,192,0,E,Europe/Lisbon,airport,OurAirports
Hurghada,HRG,1130,Hurghada International Airport,Egypt,HEGN,27.178300857543945,33.799400329589844,52,2,U,Africa/Cairo,airport,OurAirports
Sharm el Sheikh,SSH,4057,Sharm El Sheikh International Airport,Egypt,HESH,27.9773006439,34.3950004578,143,2,N,Africa/Cairo,airport,OurAirports
Tivat,TIV,1743,Tivat Airport,Montenegro,LYTV,42.40470123291016,18.72330093383789,20,1,E,Europe/Podgorica,airport,OurAirports
